journal_id,line_number,posting_date,account_code,debit_amount,credit_amount,currency,external_reference,narration
jrn_3042_0007,4,2026-04-08,120000,0.00,3898.00,INR,set_3042_0007,Synthetic clearing credit
jrn_3042_0008,1,2026-04-09,110000,2265.06,0.00,INR,set_3042_0008,Synthetic bank receipt
jrn_3042_0008,2,2026-04-09,510000,44.02,0.00,INR,set_3042_0008,Synthetic gateway fee expense
jrn_3042_0008,3,2026-04-09,140000,7.92,0.00,INR,set_3042_0008,Synthetic input GST
jrn_3042_0008,4,2026-04-09,120000,0.00,2317.00,INR,set_3042_0008,Synthetic clearing credit
jrn_3042_0009,1,2026-04-10,110000,4993.47,0.00,INR,set_3042_0009,Synthetic bank receipt
jrn_3042_0009,2,2026-04-10,510000,127.57,0.00,INR,set_3042_0009,Synthetic gateway fee expense
jrn_3042_0009,3,2026-04-10,140000,22.96,0.00,INR,set_3042_0009,Synthetic input GST
jrn_3042_0009,4,2026-04-10,120000,0.00,5144.00,INR,set_3042_0009,Synthetic clearing credit
jrn_3042_0010,1,2026-04-11,110000,4246.61,0.00,INR,set_3042_0010,Synthetic bank receipt
jrn_3042_0010,2,2026-04-11,510000,99.49,0.00,INR,set_3042_0010,Synthetic gateway fee expense
jrn_3042_0010,3,2026-04-11,140000,17.90,0.00,INR,set_3042_0010,Synthetic input GST
jrn_3042_0010,4,2026-04-11,120000,0.00,4364.00,INR,set_3042_0010,Synthetic clearing credit
jrn_3042_0011,1,2026-04-12,110000,2472.25,0.00,INR,set_3042_0011,Synthetic bank receipt
jrn_3042_0011,2,2026-04-12,510000,64.20,0.00,INR,set_3042_0011,Synthetic gateway fee expense
jrn_3042_0011,3,2026-04-12,140000,11.55,0.00,INR,set_3042_0011,Synthetic input GST
jrn_3042_0011,4,2026-04-12,120000,0.00,2548.00,INR,set_3042_0011,Synthetic clearing credit
jrn_3042_0012,1,2026-04-13,110000,3923.20,0.00,INR,set_3042_0012,Synthetic bank receipt
jrn_3042_0012,2,2026-04-13,510000,98.14,0.00,INR,set_3042_0012,Synthetic gateway fee expense
jrn_3042_0012,3,2026-04-13,140000,17.66,0.00,INR,set_3042_0012,Synthetic input GST
jrn_3042_0012,4,2026-04-13,120000,0.00,4039.00,INR,set_3042_0012,Synthetic clearing credit
jrn_3042_0013,1,2026-04-14,110000,4634.08,0.00,INR,set_3042_0013,Synthetic bank receipt
jrn_3042_0013,2,2026-04-14,510000,122.82,0.00,INR,set_3042_0013,Synthetic gateway fee expense
jrn_3042_0013,3,2026-04-14,140000,22.10,0.00,INR,set_3042_0013,Synthetic input GST
jrn_3042_0013,4,2026-04-14,120000,0.00,4779.00,INR,set_3042_0013,Synthetic clearing credit
jrn_3042_0014,1,2026-04-15,110000,5071.09,0.00,INR,set_3042_0014,Synthetic bank receipt
jrn_3042_0014,2,2026-04-15,510000,94.84,0.00,INR,set_3042_0014,Synthetic gateway fee expense
jrn_3042_0014,3,2026-04-15,140000,17.07,0.00,INR,set_3042_0014,Synthetic input GST
jrn_3042_0014,4,2026-04-15,120000,0.00,5183.00,INR,set_3042_0014,Synthetic clearing credit
jrn_3042_0003_duplicate,1,2026-04-04,110000,3702.08,0.00,INR,set_3042_0003,Synthetic bank receipt duplicate posting
jrn_3042_0003_duplicate,2,2026-04-04,510000,76.21,0.00,INR,set_3042_0003,Synthetic gateway fee expense duplicate posting
jrn_3042_0003_duplicate,3,2026-04-04,140000,13.71,0.00,INR,set_3042_0003,Synthetic input GST duplicate posting
jrn_3042_0003_duplicate,4,2026-04-04,120000,0.00,3792.00,INR,set_3042_0003,Synthetic clearing credit duplicate posting
jrn_3042_0004_duplicate,1,2026-04-05,110000,4110.27,0.00,INR,set_3042_0004,Synthetic bank receipt duplicate posting
jrn_3042_0004_duplicate,2,2026-04-05,510000,78.59,0.00,INR,set_3042_0004,Synthetic gateway fee expense duplicate posting
jrn_3042_0004_duplicate,3,2026-04-05,140000,14.14,0.00,INR,set_3042_0004,Synthetic input GST duplicate posting
jrn_3042_0004_duplicate,4,2026-04-05,120000,0.00,4203.00,INR,set_3042_0004,Synthetic clearing credit duplicate posting
